text,label
Click here to verify your bank account now,phishing
Urgent! Your password will expire today,phishing
You won a free iPhone claim now,phishing
Meeting moved to 3 PM today,safe
Please send me the project file,safe
Let's have lunch tomorrow,safe
Reset your account immediately to avoid suspension,phishing
Here is the report you asked for,safe
Koji notifications from brilliant account update,safe
Your account is locked verify immediately,phishing
Security alert click the link below,phishing
Can you send the invoice again,safe
Your package is delayed please confirm your address,phishing
Team meeting tomorrow at 10 AM,safe
Invoice attached for last month,safe
Login now to avoid account suspension,phishing
